epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,311.974,1.93917,1.25173,0.94291,0.74396,0.56608,0.63714,0.31213,1.9896,1.24336,0.90445,0.0008119,0.0008119,0.0008119
21,324.346,1.91345,1.24805,0.92753,0.76646,0.56167,0.65321,0.31624,2.00312,1.23315,0.90594,0.000802,0.000802,0.000802
22,337.128,1.84468,1.24714,0.92799,0.76103,0.56818,0.64966,0.31545,2.01473,1.20334,0.91024,0.0007921,0.0007921,0.0007921
23,349.305,1.90642,1.25717,0.93211,0.72462,0.60132,0.66537,0.31184,2.0713,1.21448,0.91491,0.0007822,0.0007822,0.0007822
24,361.616,1.85202,1.19291,0.94746,0.73479,0.62857,0.67923,0.30877,2.09508,1.23285,0.91347,0.0007723,0.0007723,0.0007723
25,369.674,1.90843,1.22625,0.93041,0.72769,0.62335,0.66411,0.30581,2.14128,1.22683,0.91961,0.0007624,0.0007624,0.0007624
26,375.313,1.87631,1.19714,0.91138,0.77887,0.58963,0.65946,0.32126,2.06608,1.2109,0.91687,0.0007525,0.0007525,0.0007525
27,381.096,1.79358,1.15227,0.90895,0.75014,0.59912,0.66425,0.32299,2.05425,1.22158,0.91398,0.0007426,0.0007426,0.0007426
28,386.963,1.8044,1.16939,0.91703,0.73942,0.61454,0.66423,0.3266,2.04243,1.24227,0.90728,0.0007327,0.0007327,0.0007327
29,393.385,1.79129,1.14394,0.90695,0.74871,0.60793,0.66533,0.32179,2.03353,1.25271,0.90597,0.0007228,0.0007228,0.0007228
30,400.209,1.79469,1.15104,0.91526,0.76358,0.61233,0.67434,0.32374,2.02311,1.23725,0.90449,0.0007129,0.0007129,0.0007129
31,406.959,1.80371,1.13734,0.90838,0.76339,0.60352,0.67137,0.32645,2.02063,1.22274,0.90408,0.000703,0.000703,0.000703
32,413.666,1.70285,1.11083,0.89731,0.75788,0.61233,0.66708,0.32785,1.99923,1.20036,0.90809,0.0006931,0.0006931,0.0006931
33,420.37,1.73586,1.11003,0.91213,0.73637,0.63436,0.6778,0.3276,1.99637,1.17362,0.90797,0.0006832,0.0006832,0.0006832
34,427.136,1.84633,1.12899,0.90751,0.7365,0.63436,0.67362,0.33651,1.98565,1.15081,0.90744,0.0006733,0.0006733,0.0006733
35,434.034,1.76444,1.13911,0.90661,0.7761,0.61843,0.68063,0.34109,1.95023,1.1455,0.90273,0.0006634,0.0006634,0.0006634
36,440.907,1.78254,1.10711,0.91479,0.73515,0.63436,0.67123,0.34439,1.92176,1.14097,0.90316,0.0006535,0.0006535,0.0006535
37,447.743,1.81448,1.09868,0.91036,0.75747,0.63291,0.68645,0.34029,1.98862,1.13402,0.90024,0.0006436,0.0006436,0.0006436
38,454.586,1.69576,1.09162,0.91154,0.74515,0.64403,0.6837,0.33588,2.0117,1.14692,0.89779,0.0006337,0.0006337,0.0006337
39,461.604,1.7093,1.05361,0.9007,0.70967,0.61233,0.66342,0.32765,2.04913,1.14913,0.89979,0.0006238,0.0006238,0.0006238
40,468.487,1.76106,1.06553,0.91762,0.76537,0.59636,0.67712,0.3319,1.97652,1.12405,0.89781,0.0006139,0.0006139,0.0006139
41,475.454,1.75664,1.08144,0.91457,0.76365,0.60132,0.66636,0.33402,1.90964,1.10871,0.8983,0.000604,0.000604,0.000604
42,482.875,1.65516,1.05827,0.90335,0.76414,0.63436,0.68195,0.33124,1.92793,1.1152,0.8962,0.0005941,0.0005941,0.0005941
43,494.498,1.70188,1.05515,0.89119,0.73871,0.61233,0.67082,0.33852,1.96795,1.10942,0.89739,0.0005842,0.0005842,0.0005842
44,506.58,1.65924,1.07318,0.8953,0.75816,0.59385,0.66642,0.33581,1.96364,1.10648,0.89667,0.0005743,0.0005743,0.0005743
45,519.147,1.67613,1.057,0.90531,0.74429,0.62775,0.66677,0.33251,1.94954,1.10052,0.89647,0.0005644,0.0005644,0.0005644
46,536.31,1.7512,1.07675,0.93119,0.73029,0.63219,0.66329,0.32885,1.96863,1.09867,0.89769,0.0005545,0.0005545,0.0005545
47,559.506,1.71512,1.02406,0.90416,0.72975,0.63643,0.66597,0.32481,1.95631,1.09446,0.89625,0.0005446,0.0005446,0.0005446
48,573.296,1.68092,1.03172,0.89786,0.74722,0.63158,0.66239,0.32729,1.95766,1.10012,0.89723,0.0005347,0.0005347,0.0005347
49,585.346,1.62952,1.02097,0.9025,0.74882,0.61894,0.66135,0.32111,1.96457,1.09921,0.89827,0.0005248,0.0005248,0.0005248
50,597.822,1.65549,1.02653,0.89866,0.75268,0.62342,0.66238,0.32277,1.95119,1.09667,0.8979,0.0005149,0.0005149,0.0005149
51,610.628,1.63865,1.03414,0.89392,0.73382,0.62775,0.66779,0.32533,1.98921,1.10568,0.89657,0.000505,0.000505,0.000505
