epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.18354,3.06022,3.75282,1.28869,0,0,0,0,3.01092,3.69653,1.14845,0.09307,7e-05,7e-05
2,13.7284,2.78895,3.65617,1.19818,0.01303,0.28414,0.00862,0.00293,2.83831,3.58132,1.09993,0.0851485,0.000148515,0.000148515
3,26.541,2.55883,3.4844,1.12103,0.01465,0.31938,0.01013,0.00409,2.75274,3.50793,1.06925,0.0772254,0.000225446,0.000225446
4,39.4621,2.53967,3.38458,1.08357,0.01798,0.39207,0.01356,0.00548,2.73233,3.40315,1.0338,0.0693008,0.000300793,0.000300793
5,49.1826,2.30671,3.22793,1.02602,0.02485,0.54185,0.02185,0.00815,2.63662,3.28533,1.00575,0.0613746,0.000374556,0.000374556
6,57.6431,2.33072,3.01791,1.00653,0.03152,0.68722,0.03699,0.01449,2.46475,3.13463,0.96436,0.0534467,0.000446735,0.000446735
7,77.7578,2.17812,2.71151,0.99498,0.03434,0.7489,0.12026,0.04441,2.34851,2.98865,0.95658,0.0455173,0.00051733,0.00051733
8,95.8735,2.11311,2.37687,0.98474,0.03404,0.74229,0.22157,0.09189,2.26464,2.74799,0.94394,0.0375863,0.000586341,0.000586341
9,111.656,2.21004,2.04673,0.97118,0.86584,0.163,0.46913,0.19702,2.25044,2.30441,0.94251,0.0296538,0.000653768,0.000653768
10,127.512,2.10358,1.68203,0.95792,0.77917,0.29075,0.52117,0.21864,2.26173,1.94282,0.93571,0.0217196,0.000719611,0.000719611
11,143.43,2.04693,1.45182,0.94632,0.62729,0.53754,0.5633,0.22406,2.19234,1.51979,0.92766,0.0137839,0.00078387,0.00078387
12,160.098,2.0432,1.44058,0.95161,0.66711,0.55727,0.60184,0.25945,2.13767,1.40279,0.92216,0.00584655,0.000846545,0.000846545
13,175.993,1.99913,1.45716,0.95442,0.70657,0.56828,0.62217,0.26363,2.07976,1.39123,0.9247,0.0008812,0.0008812,0.0008812
14,191.314,1.9992,1.48046,0.9717,0.73194,0.56388,0.61888,0.26746,2.07766,1.34488,0.92974,0.0008713,0.0008713,0.0008713
15,207.369,1.94113,1.37184,0.95879,0.697,0.58811,0.63078,0.27919,2.06375,1.33575,0.9206,0.0008614,0.0008614,0.0008614
16,223.948,1.92204,1.32344,0.93019,0.69839,0.54846,0.60771,0.28277,2.14019,1.33015,0.94376,0.0008515,0.0008515,0.0008515
17,240.159,1.85585,1.27574,0.91918,0.73498,0.59912,0.6463,0.29264,2.06082,1.24401,0.91839,0.0008416,0.0008416,0.0008416
18,269.587,1.89316,1.29262,0.92743,0.75168,0.57269,0.6457,0.30501,2.04432,1.24257,0.91247,0.0008317,0.0008317,0.0008317
19,296.812,1.9863,1.28005,0.95072,0.75059,0.57709,0.64533,0.31074,1.99353,1.23014,0.90561,0.0008218,0.0008218,0.0008218
