frame,track_id,x1,y1,x2,y2
0,1,193.782656,64.5311488,206.471808,77.38296319999999
1,1,192.9172864,68.39063039999999,208.9023616,79.7801216
1,2,166.6815104,79.9365504,175.8347136,88.1018496
2,1,194.358464,65.43326719999999,217.192256,80.0085248
3,1,191.1124864,60.21632,211.0614656,76.46822399999999
4,1,188.0137856,61.2860288,203.9211904,84.8413312
5,1,185.3058688,63.330944,204.2616192,89.012096
5,3,205.4040192,57.9979264,214.2030208,67.30895360000001
6,4,103.5037312,216.1587072,116.1017728,223.4834048
6,5,211.6802944,146.9450496,222.7476096,153.9553024
6,6,142.078784,209.3256704,149.013184,213.9836416
8,7,50.9537792,208.7424512,57.2753408,214.0267008
9,8,7.9118464,91.7525888,20.5927296,98.6637952
10,8,1.2800000000368073e-05,92.127616,15.1234944,100.822656
11,8,0.0,90.212736,15.6571136,94.686848
12,9,49.97344,179.64668160000002,56.566592,184.3192704
12,10,129.9231232,211.4480768,136.3240448,217.4701952
12,11,35.600896,199.7346304,40.118784,205.8420736
13,9,35.104857599999995,194.4746368,41.6526464,201.8215552
13,10,144.80661759999998,210.9511552,149.6747904,214.7835008
13,12,227.1226112,152.0966016,237.3776128,159.0852224
13,13,221.2448256,174.0860416,230.4251904,180.6454784
13,14,186.7164672,155.33943040000003,191.4247168,160.3935616
13,15,101.2631424,218.5074688,108.9190016,222.3419392
15,16,7.8265088,87.7956864,22.6342144,94.5879296
16,17,174.7938176,201.6237696,181.8003584,204.8591744
17,18,214.2655104,147.3020288,226.1476736,154.9325952
18,19,28.513433600000003,193.2038912,37.976934400000005,198.9937408
19,20,4.1497856,114.3245312,13.9987712,121.5513088
20,21,216.5032704,146.4969728,226.4233216,153.3737472
20,22,126.8761088,209.1317632,134.6913792,215.3827968
20,23,138.491264,211.0411264,144.598144,215.6269056
21,24,41.5196288,203.1270784,50.5809792,208.6135936
22,25,167.25774080000002,102.1772928,175.5943552,108.5398912
23,26,105.8664704,218.5365632,112.4815616,222.8611968
24,27,104.9647616,177.2938496,110.7029504,182.3794944
26,28,101.7265024,218.0116992,110.3362176,222.7834368
27,29,172.5143552,103.1319424,183.4531328,111.9152256
28,29,149.2983296,106.6187264,172.0159744,115.3911296
29,30,101.3750272,218.8885248,109.9022848,223.4620672
30,31,27.200256,191.1620864,35.400448,197.0096896
32,32,25.5731584,15.7159808,31.3305216,20.9512064
33,33,100.022528,218.7427712,111.72736,222.9842048
34,34,37.8105472,199.406656,46.5307008,210.933696
35,35,42.6691968,98.7203584,54.8545152,103.6599296
37,36,57.0724864,185.4957696,61.4601216,188.9989504
37,37,154.29210880000002,168.83658240000003,159.6340352,173.5572736
37,38,197.5648768,154.35904,207.9852032,160.058624
40,39,218.5646336,161.03019519999998,224.0056064,164.7769088
41,40,86.7415936,215.26848,92.6324864,221.097344
44,41,16.0919424,89.96197120000001,21.030208,93.3417088
46,42,30.7299968,150.90268160000002,40.4717952,156.9311744
46,43,142.021056,98.6741632,148.930112,103.9580288
47,43,131.724224,99.5350528,149.11443200000002,106.2536192
47,44,41.9246976,42.437824,50.9649024,47.736128
48,43,122.4037632,103.6682624,135.8526208,108.4011136
48,44,38.7154432,40.3973376,50.6643968,46.34519039999999
48,45,233.5811712,1.2799999999923983e-05,247.4960768,6.0641152
49,45,202.089536,3.0313728000000006,222.629312,9.6238336
49,46,102.7251072,209.2079744,111.0215808,213.7803136
49,47,32.3769088,152.32488959999998,41.4842112,158.2430464
49,48,78.7226368,112.0767872,87.0998272,117.1143808
50,46,83.07598080000001,193.6489088,88.5863552,200.1041792
51,49,60.569267200000006,98.5766272,82.5029888,106.6401408
51,50,182.6561792,0.8169088000000002,191.5108608,14.9983104
51,51,215.8305152,7.384512000000001,226.3306368,12.45984
52,52,88.997504,27.606784,101.232512,34.487552
53,53,135.9397632,106.3968128,155.7978368,113.4780032
53,54,154.8585472,92.423296,164.4814848,101.453184
54,53,132.8262656,106.7793152,147.38211840000002,112.2481408
54,55,218.1680128,1.2799999999479894e-05,241.9853312,10.8789632
55,55,232.1565056,0.7359744000000008,245.1693184,9.4282496
55,56,105.511936,34.4880896,114.967552,39.9111424
56,55,222.8700672,4.913075199999999,236.9079808,17.0631424
56,57,145.619328,14.0146432,172.2656,26.9317376
57,55,226.3991552,8.432512000000001,232.9703168,14.3031552
57,57,132.0276864,22.6572672,144.0422016,32.3643008
57,58,143.179776,147.5157376,151.38252799999998,153.4178944
57,59,73.2285696,193.2276096,78.2307584,198.6623104
58,55,232.2853632,1.0766976,240.1483008,9.249881599999998
59,60,19.2009472,61.753600000000006,28.028288,68.457728
60,61,68.5031424,41.8914048,77.73122559999999,47.8852352
61,61,89.0207744,40.9231232,97.5192576,46.5797248
61,62,18.695744,114.3182464,36.702656000000005,120.7209856
62,61,100.7317888,38.1942656,113.8668672,44.412838400000005
63,61,99.271296,33.115392,126.259072,41.73696
63,63,219.112576,9.2863616,231.951232,19.0005632
64,61,118.34252800000002,25.8188032,143.551104,35.9355648
64,63,225.7992448,-1.2799999999479894e-05,244.2833152,15.37952
64,64,0.1275392000000001,99.8127104,10.723584,113.1900416
65,61,133.1595264,25.939456,157.09532159999998,34.33472
65,63,235.2107776,0.7858175999999997,243.1538944,9.1682304
66,61,161.09696,26.0081152,187.75424,31.6231168
67,61,183.4234496,23.091264,205.5936384,30.390208
68,65,33.6328448,87.7483904,48.5953792,96.1640576
69,65,39.3976064,89.158208,53.5047936,96.895936
69,66,226.837184,3.0047872,240.73504,11.3454464
69,67,46.3601152,18.2462848,67.5721728,30.2791296
70,65,44.0430848,89.4188288,55.1789312,96.2011392
70,66,238.538304,-2.5599999999847967e-06,248.927168,4.932451840000001
70,67,53.0425088,18.124377600000003,62.6520832,25.7417344
71,65,49.2710784,89.883392,56.6591616,94.866176
72,68,198.5809024,169.521472,205.8996096,175.49792
72,69,141.838016,183.2043776,150.321472,190.9682944
73,70,146.4922496,145.9922048,152.9796224,153.85189119999998
73,71,29.2624896,150.4067712,38.3732224,157.6236928
75,72,31.448960000000003,151.8621824,41.636480000000006,158.01711360000002
76,72,29.9728,149.9938304,38.586048,158.20252159999998
76,73,72.0507136,193.6393728,77.5116544,198.5285632
78,74,117.759296,202.916608,124.928192,206.348544
79,75,157.62213119999998,113.099904,165.5241088,122.1856
80,75,159.7424768,110.9573504,172.49688319999998,124.1796736
80,76,160.75385599999998,100.0648192,175.296832,110.1040128
81,75,160.4472704,109.663744,172.45000960000002,122.181632
82,75,132.9044224,111.0381568,156.2931456,117.7766912
83,75,105.2277888,110.1071488,129.0255232,117.7174912
84,77,79.2968448,108.042688,91.7772032,116.66592
85,78,33.256576,98.5658496,59.225984,114.0815744
86,78,55.868032,110.092608,83.60640000000001,118.358208
86,79,16.335487999999998,59.6703616,26.2194432,66.5550464
87,80,91.4634368,110.264768,110.0013952,116.845632
89,81,127.11649280000002,107.44608,140.83000320000002,112.469184
89,82,12.923801599999996,59.6745856,25.3271552,66.9240704
90,83,187.2595968,160.8031104,193.0534912,164.8601216
91,84,13.7105152,59.749619200000005,24.6835968,67.44654080000001
91,85,53.6941824,183.451904,70.6388736,195.405568
91,86,216.38976,178.1513344,221.968256,182.3284096
92,84,13.325119999999998,59.7161216,24.5247872,66.5415424
92,85,66.5832576,195.5960192,81.8347904,211.0937728
93,85,62.3921408,204.7177728,68.7402752,214.3572992
94,85,68.986368,202.32352,76.46412799999999,207.787968
94,87,76.26214399999999,26.3243904,96.33664,38.1553536
95,85,71.2346368,201.6923648,78.8945152,208.6874112
96,85,75.419968,206.2416512,83.33587200000001,212.5902208
97,85,83.6077952,204.3392512,92.5985408,214.2489088
98,85,77.00371200000001,202.0309248,102.491712,218.2417152
99,85,76.3153664,203.94416640000003,98.7563776,221.0926336
100,85,79.928768,215.1550848,105.402944,222.8655232
101,85,74.7616,214.02816,95.070848,223.308928
102,85,77.0219264,217.6947968,96.2250496,225.1703552
103,85,80.1092608,217.7765888,101.0568192,224.4265472
104,85,80.4073856,217.8861312,89.6017024,224.1628928
105,88,250.4921856,170.0999296,255.7887744,176.4262784
105,89,17.5978368,197.9820416,28.7167104,206.7734144
105,90,19.7682816,198.2241152,29.7811328,208.6674048
106,91,172.4941184,201.6004864,181.2492416,210.3122176
110,92,15.7534592,102.3463936,34.4288384,108.5914624
114,93,142.7756416,99.9230208,155.6000384,115.1651072
115,94,206.1403776,145.5225728,213.6054144,151.4323072
115,95,93.8576512,176.7856896,100.4857728,181.3808384
116,96,178.6827008,70.100864,190.8072192,78.64895999999999
119,97,2.4381056,194.7554944,6.629567999999999,198.0247936
119,98,216.9624064,146.6108544,224.1814016,152.9751936
120,99,248.9114368,178.62626559999998,255.5155712,183.0198144
121,100,194.995584,75.15144959999999,208.21312,83.5240064
122,100,196.399936,72.9255552,210.142912,82.1377408
122,101,150.74493439999998,169.1795712,160.6749696,173.9070208
123,100,200.1259392,71.811136,214.0477568,82.810304
124,100,195.535936,75.9480832,213.75584,89.09818879999999
124,102,152.1257216,174.62641920000002,165.1796224,180.3810688
124,103,73.3719424,32.1623936,85.06850560000001,37.4921344
125,100,193.6786432,76.6336256,213.3634048,85.6299264
125,102,159.9866112,170.660416,175.3590528,176.461248
125,103,61.0456448,18.9476224,71.4870912,25.7219712
125,104,167.7629184,69.34543359999999,183.2478976,84.4573184
126,102,164.3439616,174.2651904,181.1208704,180.5528576
127,102,167.05985280000002,170.8287872,184.2724992,177.1299968
128,102,166.919872,170.2608,179.001664,174.50719999999998
129,105,217.2692864,146.5353216,228.4646016,153.0066944
130,106,22.9291648,87.8171264,41.6662912,94.6489216
131,106,0.0,87.7800064,19.0788096,95.6649856
131,107,222.10713600000005,154.78560000000002,238.63808,170.643136
132,106,0.6246144000000005,92.7334528,26.8021504,102.1747072
133,108,42.9624704,100.9811712,56.2774656,108.2568448
134,109,95.5954688,178.7295616,101.3263872,183.7101184
136,110,143.93040639999998,98.7686784,156.0580736,108.9911936
136,111,195.0898816,79.6341632,204.5568384,86.8339328
137,111,185.242816,80.3688064,202.02272,89.2905856
137,112,166.8654464,81.4905088,180.1149056,86.32721919999999
138,111,174.618816,78.7418368,191.361856,89.63704320000001
139,113,16.7208448,185.0569344,21.60768,189.3379456
140,114,138.9584512,170.81696000000002,144.9762688,176.14496
141,115,153.9641216,35.0158336,159.28208640000005,39.5134464
141,116,226.7726464,167.250752,234.2413696,176.360128
141,117,222.6531584,175.88451840000002,230.1069056,182.5369856
142,118,112.2820736,218.3292928,121.3942144,222.0598272
143,119,55.0501248,216.422208,64.7665792,221.861056
146,120,13.0803968,106.015552,37.0829568,115.592896
147,120,8.0233344,99.5940096,20.7217792,104.5470464
147,121,176.36171520000002,87.0794496,192.5168768,98.2415104
148,121,165.2685568,94.2112384,178.44011519999998,101.6651136
150,122,176.925184,77.1079296,189.598208,91.2064384
153,123,159.3534848,97.6674304,166.41777919999998,105.6231936
154,123,159.021312,84.7325184,180.14387200000002,96.9409536
