frame,track_id,x1,y1,x2,y2
0,7,221.7013632,156.923712,228.84430079999998,164.93024
0,6,194.1282176,190.043392,218.7327104,219.205888
0,5,144.4167552,244.77740799999998,153.1786368,256.000064
0,4,195.15375360000002,188.8894976,219.0225024,209.0333184
0,3,193.003648,205.75162880000002,219.463552,229.2282112
0,2,223.69053440000002,183.7490048,234.1982336,200.76606719999998
0,1,183.374272,237.56468479999998,190.97811199999998,251.6682112
1,10,175.8137088,223.33895679999998,189.6483072,236.0643072
1,9,180.0288256,225.6745216,194.8309504,241.13277440000002
1,8,204.455744,198.0793984,227.305664,221.1502976
1,6,201.38482724466562,194.13206882529764,226.04002196348463,222.7882529134159
1,4,195.81848674717799,189.7325947846408,212.19646470627788,204.27841996565883
6,21,188.46096182665823,212.76726740275518,209.01470209265293,230.5870108847123
6,5,142.0762241918108,248.55793866965084,157.3596226130694,256.4532286419158
7,23,202.50842182746263,184.6296713113708,232.56900913728683,206.62687740059974
7,21,179.46162492615804,213.36337312152472,206.44911618607017,237.99237342417354
8,24,223.06032897335018,172.93715171134394,231.17022261327105,180.73178127467523
8,3,189.6898462517406,207.99842693527467,207.12365127183355,226.44427880546795
9,3,189.40880602636025,206.6304893251479,208.18677352787125,228.22687044589617
10,14,193.3969254755762,197.6650637933004,223.29024282653614,226.26912681454118
11,14,189.7763923423412,196.85403836526106,224.55236080569532,227.91939796450285
12,33,182.14026176663364,192.82690443537936,222.45944662411515,222.54003810993154
12,14,187.670519043884,194.99192183676786,222.60678102282205,226.07993171956127
13,33,180.9950379996364,192.72864988568543,222.97015722050782,222.73311471884287
15,28,191.74686759795404,197.97971191327875,220.78051524675104,217.25127896577035
16,28,192.8760354408913,199.77765504958742,220.50071813294525,220.02660652541195
16,10,149.820061977757,222.5378186998615,168.44864169137924,243.07638153624472
17,49,189.6011292238473,199.36738857372274,207.1671831866048,215.49527153692998
17,46,190.29129541065382,199.2718979182676,218.32727031420498,219.73155878582378
17,35,168.70990262169116,236.50636765616397,183.64814610693546,254.83885798383218
18,49,187.51928368110057,195.95867646984846,206.69909125865522,212.43038636234843
20,46,191.3915531007248,198.71255481993836,217.98145302040993,217.13667917985765
21,46,190.50784770520144,195.06895821829528,218.6338730543371,214.64796241956213
22,44,182.23656371283562,215.03980257265243,198.7609312668858,222.53184380457543
22,35,165.53874901517398,241.30354786668445,178.3765954402826,255.7190198769986
24,55,182.43348271326175,216.4033145021751,209.16900985401264,237.0842537410322
24,28,180.16496948958343,212.5745802274101,207.03291092851657,232.7483079065086
25,68,176.6040669729525,211.21402275263642,212.19251874219057,242.30092927375205
25,55,180.5124290814871,210.5489976847381,209.2696567761939,234.49861678928707
25,28,179.89177301080602,209.91123921756295,206.05936054415818,230.71929362680052
26,55,177.14352155029977,209.47847884511276,207.4734794636233,233.89692735710264
26,28,176.7292824645201,210.092822099717,203.5049422914853,228.49464308875258
27,46,192.12693740402898,191.0000674025499,212.26401945590385,206.01765797124918
27,28,176.44713218539107,211.32136384102103,203.40423231628472,229.57777330649088
28,46,191.47412187623212,193.40389180838636,209.01215206683975,206.75121410039108
28,28,173.6955747140405,212.40390774795378,201.73774420765102,232.23971338647078
29,68,174.92932932699665,222.76800752001495,196.62627035825278,247.03598515711607
29,55,175.65560679302376,212.69868894186294,203.31436502819804,240.1081291224677
29,54,176.44925599926734,232.6697689507577,189.5161492644125,248.271560843546
29,46,191.884007186778,194.92209539626108,207.40622495669547,207.68771508785372
30,68,176.17636174791744,227.0993777788314,196.0877280104246,248.70565192985742
30,55,166.66563446559275,210.86397836074994,201.67284940189552,239.16873227141636
30,46,191.7885139973899,197.18020758421656,205.26588895265346,208.80507539796722
35,77,174.86404729461609,211.93197456865727,201.45988959432097,240.26197759392903
35,55,176.85658458526981,209.48921112457919,206.20837652692316,236.33849000740736
36,77,173.41378350171505,215.94931040663153,198.21146828210192,245.13139865010476
37,77,171.4546640077736,218.96682053767069,196.30820527988755,250.5406819323983
37,28,172.97849332511564,220.931901954743,196.11583400429137,244.12144498324773
38,77,167.98447106428537,213.30724707109488,197.12838420593354,245.15297247266585
39,77,172.8746746152666,212.8639225529103,199.88151358304776,245.08172067746818
39,55,172.51415304796902,204.849123850105,204.13861890961564,235.3326254638631
40,77,175.31630371450314,211.87757146775613,199.90513144456696,244.30724317904406
40,55,174.48415236137186,207.17869122960045,202.59174166430722,236.8804574789169
40,28,174.84111685391525,221.82053646341936,196.35094976116824,250.1545421545906
41,77,175.47322045328482,212.1011307419621,199.05005330033802,245.2377868250229
41,55,175.1614526452319,210.0569539408067,201.20617435678335,238.74653300439672
41,28,175.37430024477936,220.9615667419002,196.58829512527302,250.70689531958473
42,111,145.52142008456892,237.0226254408792,167.34442126577423,257.5233201899488
42,101,203.65119221968538,173.67585184802257,220.9057062230216,194.61436660859508
