frame,track_id,x1,y1,x2,y2
0,7,221.7013632,156.923712,228.84430079999998,164.93024
0,6,194.1282176,190.043392,218.7327104,219.205888
0,5,144.4167552,244.77740799999998,153.1786368,256.000064
0,4,195.15375360000002,188.8894976,219.0225024,209.0333184
0,3,193.003648,205.75162880000002,219.463552,229.2282112
0,2,223.69053440000002,183.7490048,234.1982336,200.76606719999998
0,1,183.374272,237.56468479999998,190.97811199999998,251.6682112
1,10,175.8137088,223.33895679999998,189.6483072,236.0643072
1,9,180.0288256,225.6745216,194.8309504,241.13277440000002
1,8,204.455744,198.0793984,227.305664,221.1502976
1,6,201.38482724466562,194.13206882529764,226.04002196348463,222.7882529134159
1,4,195.81848674717799,189.7325947846408,212.19646470627788,204.27841996565883
2,11,167.30465279999999,228.72192,178.9307392,242.418944
2,10,170.53910172117918,224.98605113455378,185.1267728165755,241.2583854998849
2,9,185.46430758104322,226.8900632484631,202.3800273897918,244.55804917982294
2,8,206.96793754967422,193.2354658302416,222.6791216528827,213.551313094249
6,15,198.93543585515945,184.47346131338574,226.29909811135022,212.96389647818827
7,21,186.40706305471622,211.69285259584282,208.72210587080383,233.46870029991734
7,15,202.14582485957558,183.22765078706766,230.6803820414772,209.2409430205846
8,15,198.77289263532103,187.4282110205543,226.52895445320357,210.17385849241307
9,15,193.3865651144612,194.16019096128295,223.81390813816213,217.3370913560535
10,15,192.1191983306916,199.14973210170535,222.95163669137608,223.47760822437317
11,15,187.41387288890706,199.83075109159165,223.20428737551066,227.9325804599943
12,15,185.2017822763176,198.11795147796607,220.96579211057372,227.05632930670924
13,30,182.53618553293643,190.8117881920429,222.9897853619541,223.12646904516157
14,30,184.11295588988528,192.980207409489,220.9510520706651,220.4512475462818
15,30,192.6696691922577,194.91909335616737,224.0334919129075,219.35242113539698
16,44,193.69234192847196,200.34211982037985,220.45421508335662,220.09417364941723
16,30,189.78768597176884,196.47978632714646,219.62776756540467,220.15594317753832
17,30,190.29135213635044,197.52725439586297,219.30006090915407,219.97653940732735
18,51,187.51928368110057,195.95867646984846,206.69909125865522,212.43038636234843
20,44,196.85573087664497,213.20048737602198,213.21114167384863,229.51972373980394
21,30,190.51534675186656,194.88692779391863,218.577141722006,214.86389167004188
26,75,176.9950714613911,208.77871518228503,202.17614405644667,225.54223329150156
27,77,175.07871094993885,209.82588097405392,205.5310515485789,231.55955727642174
28,77,172.23913250782675,210.8883431309896,202.81717543767263,233.44510146295198
29,82,191.83072398730488,196.20206974775525,206.43916517622463,208.6436293897119
30,82,191.84378420617224,198.53348771318335,204.37328492209787,209.65558470456816
31,82,190.28074371568465,200.10105200417226,204.57946793978908,212.8610500404486
37,109,175.02232111397484,220.2941925237567,192.4749280992787,238.61678860289817
38,112,171.05516344734878,201.82986517630172,205.07550697073617,231.77871054748186
39,112,171.25729007173496,213.17243018746376,201.80340078670721,244.1363033750103
40,112,168.42114012212002,225.9511280710004,195.96705317709635,255.09262245635531
41,124,177.1552452842265,214.27751820928856,198.88984413346395,238.27165499263512
41,119,176.73846736749485,219.19045617505833,195.99950923866717,251.40019525464157
43,130,178.44056090819367,205.60557232763452,195.46537204008825,230.3552131630394
44,130,180.34535663792545,203.13039815456062,200.00454467870148,228.54175237209608
45,124,167.9111584267581,211.35357720059608,193.86476344183814,241.82461524766234
46,141,164.1828807805255,203.23795195401746,201.80809656074538,242.53735074123935
47,141,174.5942112689347,190.70355205189168,216.97535885165632,228.61613085203948
48,145,181.66390815258913,188.35005218078553,219.46517888433576,225.1320215135984
48,141,183.67762561685004,184.18085987182957,222.75376145151608,220.5819100952965
51,153,181.73854337285044,188.15771184295568,214.08965864980453,220.0438942070371
52,153,173.96080765017854,199.39501055850138,211.65677660593923,228.59599416240553
53,153,172.98751573288146,197.32514218288148,215.79370944593953,228.6342119080567
55,171,163.7711878275104,208.8803752988877,203.55756283785757,248.5486377848273
58,178,195.7626412391244,176.88416788688608,216.04485599721616,201.47230855810824
59,178,196.48868171226786,180.61382706205913,218.6416679988768,206.91789505726862
60,178,193.3797544922809,181.74721860489524,216.92600970685024,207.8054066342528
61,178,194.75625318919725,183.41575180647783,217.7135865003695,206.80279388640514
65,203,176.5496810740749,205.26002624685012,201.30272254360017,228.50760591193094
65,191,194.97247663637776,184.73468424310585,221.78654524975397,207.59618907646598
66,203,173.46960416799303,205.25432257827373,202.08596358339688,229.96510684690247
66,201,162.06755977827632,207.2773300287445,200.17310158273366,242.51776791815834
67,209,166.28361414685364,201.83713896904746,211.54177959798133,240.91721623964347
68,209,167.68368289727596,204.5144150512288,214.419326135726,240.36938255434342
69,209,169.80982843069,205.7539421683681,216.4719282659035,240.97891254902856
70,209,170.06681364631694,202.71180720444048,218.31113056796667,238.1224139627736
71,209,165.56930181616752,202.3867362200221,216.60830847445942,239.78377237439548
